Channel,HandlerLocation,RendererUsage,Notes
"ANALYSIS:GET_BY_ID","electron/main.js -> db.getAnalysisById","Used in UI (EditorContext can fetch by id)","Returns analysis by id"
"ANALYSIS:GET_CHROMA_FRAMES","electron/main.js -> db.getAnalysis","Used by analysis visualizers","Lazy fetch for large chroma frames"
"ANALYSIS:GET_EVENTS","electron/main.js -> db.getAnalysis","Used by analysis visualizers","Lazy fetch for event frames"
"ANALYSIS:GET_MFCC_FRAMES","electron/main.js -> db.getAnalysis","Used by analysis visualizers","Lazy fetch for mfcc frames"
"ANALYSIS:GET_RESULT","electron/main.js -> db.getAnalysis","Used in UI (EditorContext, SandboxView)","Main analysis retrieval handler"
"ANALYSIS:GET_SECTION","electron/main.js","Used by UI","Returns single section subset by id"
"ANALYSIS:LOAD_TO_ARCHITECT","electron/main.js","Used by Editor and Sandbox","Converts analysis into architect blocks and populates UI"
"ANALYSIS:PARSE_MIDI","electron/main.js","Legacy — LIBRARY:PARSE_MIDI preferred","Kept for backward compatibility"
"ANALYSIS:RECALC_CHORDS","electron/main.js -> listener.recalcChords","Called by AnalysisTuner & EditorContext","Recalculates chord candidates for analysis"
"ANALYSIS:RESEGMENT","electron/main.js -> architect resegment","Used in AnalysisTuner","Performs segmentation rescan and preview commit semantics"
"ANALYSIS:START","electron/main.js -> startFullAnalysis","Triggered by UI or Library flows","Launches full analysis pipeline and persists results"
"ANALYSIS:TRANSFORM_GRID","electron/main.js","Called by AnalysisTuner","Grid transform operations affecting block time scale"
"ARCHITECT:FORCE_SPLIT","electron/main.js -> handlers/architect.js","Invoked by UI (NoveltyCurveVisualizer, ContextualInspector)","Persists a forced split into DB and broadcasts blocks update"
"ARCHITECT:UPDATE_BLOCKS","electron/main.js","Used as sync event for Architect","Broadcasts architectural block changes to renderer"
"CALIBRATION:GET_BENCHMARKS","electron/main.js -> services/calibration","Calibration UI","Lists benchmark datasets for calibration"
"CALIBRATION:RUN","electron/main.js -> services/calibration","Calibration UI","Runs calibration jobs and emits progress events"
"DB:GET_SETTINGS","electron/main.js -> db.getSettings","useSettings hook","Read-only settings query"
"DB:SET_SETTING","electron/main.js -> db.setSetting","Settings UI and tweaks","Writes setting key/value pairs"
"DB:LOAD_ARRANGEMENT","electron/main.js -> db.getArrangements","Layout & arranger UI","Loads saved arrangements"
"DIALOG:SHOW_OPEN","electron/main.js -> dialog.showOpenDialog","Many import flows (Library)","Standard Electron open file dialog"
"DOWNLOADER:DOWNLOAD","electron/main.js -> bridges/downloader","Library import flows (YouTube)","Triggers Python/Node downloader with DOWNLOADER:PROGRESS events"
"LIBRARY:ATTACH_MIDI","electron/main.js -> library.attachMidi","Library UI","Copies and attaches a MIDI file to a project"
"LIBRARY:BATCH_IMPORT","electron/main.js -> services/batchImporter","Admin or import CLI","Batch import of projects from JSON or folder"
"LIBRARY:CREATE_PROJECT","electron/main.js -> library.createProject","Library UI","Creates a new project, copies files, auto-fetches lyrics"
"LIBRARY:GET_PROJECTS","electron/main.js -> library.getAllProjects","Library UI","Returns persisted project list"
"LIBRARY:PARSE_MIDI","electron/main.js -> midiParser or library.parseMidiAndSaveForProject","Library import","Preferred over legacy ANALYSIS:PARSE_MIDI for parsing and saving MIDI"
"LIBRARY:PROMOTE_TO_BENCHMARK","electron/main.js -> library.promoteToBenchmark","Library UI","Adds a project to calibration benchmark datasets"
"LIBRARY:READ_LYRICS","electron/main.js","Lyrics UI","Reads a lyrics file from disk into a project"
"LIBRARY:RE_ANALYZE","electron/main.js -> startFullAnalysis(project.audio_path)","Library UI","Re-runs analysis for an existing project"
"LIBRARY:SCAN_DIRECTORY","electron/main.js -> services/batchImporter.scanLibraryDirectory","Batch importer","Disk scanning for audio files and projects"
"MAIN:LOG","main -> renderer event","Developer UI / Log viewer","Re-emits main process logs to renderer for dev use"
"NETWORK:SEND_MACRO","electron/main.js -> network/macro","Mapper/OSC","Sends macros via OSC to DAWs"
"OSC:SEND_TRANSPORT","electron/main.js -> oscBuilder","Playback transport control","Sends transport messages to configured OSC port"
"PATH:DISABLE_CLOUD","electron/main.js -> services/pathConfig","Path management","Disables cloud backups for user library"
"PATH:ENABLE_GOOGLE_DRIVE","electron/main.js -> services/pathConfig","Path management","Toggles Google Drive integration"
"PATH:GET_CONFIG","electron/main.js -> services/pathConfig.getConfig","Settings UI","Retrieves current path configuration"
"PATH:SELECT_DIRECTORY","electron/main.js -> dialog.showOpenDialog","Path selection dialogs","Directory choose dialog"
"PATH:UPDATE_CONFIG","electron/main.js -> services/pathConfig.updateConfig","Settings UI","Updates path config; triggers background sync"
"SANDBOX:GENERATE","electron/main.js -> structureGenerator.generate","Sandbox UI","Generates a structure from constraints and returns architect blocks"
"TRACK:RESOLVE_INDEX","electron/main.js -> trackResolver.getTrackIndex","Mapper/OSC","Resolve track index for OSC commands"
"UI:BLOCKS_UPDATE","main -> renderer event","Blocks provider & Architect UI","Broadcast updates to architect blocks in renderer"
"UI:REQUEST_INITIAL","ipcMain.on","Blocks provider / initializer","Renderer requests the initial cache for blocks"
"UI:REQUEST_STATUS","ipcMain.on","Generic status / heartbeat","Used in UI status polling"
