Component,Path,Description,IPC_Channels,Tests
LibraryTable,src/components/LibraryTable.tsx,Table of library projects and actions,,
NoveltyCurveVisualizer,src/components/NoveltyCurveVisualizer.jsx,Novelty curve visualization and manual split staging,ARCHITECT:FORCE_SPLIT,src/components/__tests__/NoveltyCurveVisualizer.test.jsx
ProbabilityDashboard,src/components/ProbabilityDashboard.jsx,Displays various confidence and probability metrics from analysis,,
AudioEngine,src/components/player/AudioEngine.tsx,Audio playback engine (HTMLAudioElement) with context sync,,
MusicTheoryToolkit,src/components/sandbox/MusicTheoryToolkit.tsx,Music theory helpers and progression suggestions,,src/components/sandbox/MusicTheoryToolkit.test.tsx
LyricsPanel,src/components/lyrics/LyricsPanel.tsx,Lyrics fetch and display UI; auto-scrolls to current line,LYRICS:GET (via useLyrics hook),
LyricDraftPanel,src/components/lyrics/LyricDraftPanel.tsx,Lyric draft editor used in Sandbox and Editor,,
LyricsIntegrationExample,src/components/lyrics/LyricsIntegrationExample.tsx,Example integration for lyrics UI,,
Toolbar,src/components/Toolbar.jsx,Top toolbar for playback and macros,NETWORK:SEND_MACRO,src/components/__tests__/Toolbar.test.jsx
KeySelector,src/components/tools/KeySelector.tsx,Select musical key dropdown,,
AnalysisTuner,src/components/tools/AnalysisTuner.jsx,Interface to preview and commit analysis tuning parameters,ANALYSIS:RESEGMENT; ANALYSIS:RECALC_CHORDS; DB:SET_SETTING,
SectionSculptor,src/components/SectionSculptor.jsx,Low-level section sculpting and adjustments,ANALYSIS:SCULPT_SECTION,
SectionDetailPanel,src/components/SectionDetailPanel.jsx,Detailed inspector for a section including harmonic DNA,,
SandboxMode,src/components/SandboxMode.jsx,Blank canvas generator view for composition and block edits,,
SidePanel,src/components/layout/SidePanel.tsx,Left side panel used to show Library filters or Project files,,
InspectorPanel,src/components/layout/InspectorPanel.tsx,Right inspector panel for property editing,,
MainWorkspace,src/components/layout/MainWorkspace.tsx,Main workspace container for content and panels,,
